V1,V2,V3,V4,V5,V6
"14.9 (14.1, 15.8)","17.5 (16.6, 18.5)","20.0 (19.0, 21.0)","20.1 (19.1, 21.0)","20.8 (19.9, 21.7)","21.9 (21.0, 23.0)"
"60.3 (56.8, 63.2)","60.1 (57.1, 62.9)","62.0 (59.5, 64.5)","83.1 (80.7, 85.2)","90.7 (89.1, 92.5)","90.7 (89.0, 92.5)"
"2.2 (1.3, 3.2)","1.7 (1.0, 2.6)","1.4 (0.8, 2.2)","1.4 (0.7, 2.2)","1.4 (0.8, 2.1)","1.5 (0.9, 2.0)"
"1.33 (1.03, 1.62)","1.29 (0.99, 1.58)","1.24 (1.00, 1.58)","1.22 (0.97, 1.50)","1.22 (0.95, 1.49)","1.17 (0.90, 1.50)"
"1200 (1116, 1305)","1176 (1069, 1292)","1164 (1061, 1256)","1141 (1058, 1246)","1125 (1034, 1237)","1109 (1022, 1222)"
NA,"17.5 (11.5, 24.0)","31.5 (25.5, 37.5)","51.0 (45.0, 56.5)","67.5 (62.0, 73.5)","85.0 (79.0, 91.0)"
NA,"1.5 (0.9, 2.0)","2.6 (2.2, 3.1)","4.3 (3.8, 4.7)","5.7 (5.2, 6.1)","7.1 (6.6, 7.6)"
